file_name,info
VWS.CO_FY2022_EMTN Programme 2023.pdf,Successfully downloaded
4503.T_FY2022_Integrated report 2022.pdf,Successfully downloaded
"WBA.OQ_FY2022_Environmental, Social and Governance Report 2022.pdf",Successfully downloaded
8053.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
9022.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
6301.T_FY2022_ESG Databook 2022.pdf,Successfully downloaded
"EQR.N_FY2022_2022 ENVIRONMENTAL, SOCIALAND GOVERNANCE REPORT.pdf",Successfully downloaded
GMAB.CO_FY2022_2022 Corporate Responsibility Report.pdf,Successfully downloaded
STMN.S_FY2022_SUSTAINABILITY REPORT.pdf,Successfully downloaded
VOD.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
ASSAb.ST_FY2022_Sustainability Report2022.pdf,Successfully downloaded
GMG.AX_FY2022_Goodman GroupSustainability Report2022.pdf,Successfully downloaded
SSE.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
4901.T_FY2022_INTEGRATED REPORT 2022.pdf,Successfully downloaded
SEBa.ST_FY2022_Annual and Sustainability Report 2022.pdf,Successfully downloaded
GPC.N_FY2022_2022SUSTAINABILITYREPORT.pdf,Successfully downloaded
III.L_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
6818.HK_FY2022_2021年度社会责任报告.pdf,Successfully downloaded
6818.HK_FY2022_2020年度社会责任报告.pdf,Successfully downloaded
K.N_FY2022_CSR Report – F.Y. 2021-22.pdf,Successfully downloaded
TEF.MC_FY2022_Consolidatedmanagement report2022.pdf,Successfully downloaded
TSCO.L_FY2022_Annual Report and Financial Statements 2022.pdf,Successfully downloaded
4543.T_FY2022_2022 ESG Section.pdf,Successfully downloaded
ZS.OQ_FY2022_2022ESG Report.pdf,Successfully downloaded
MAHM.NS_FY2022_Sustainability Report 2021-22.pdf,Successfully downloaded
FE.N_FY2022_2022 Climate Report.pdf,Successfully downloaded
8591.T_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
RJF.N_FY2022_Corporate Sustainability Report 2022.pdf,Successfully downloaded
STE.N_FY2022_ESG Fact Sheet 2023.pdf,Successfully downloaded
NET.N_FY2022_Cloudflare Impact Report 2022.pdf,Successfully downloaded
2202.HK_FY2022_2021可持续发展报告.pdf,Successfully downloaded
AEE.N_FY2022_2022 Sustainability Report.pdf,Successfully downloaded
RYA.I_FY2020_2021 SUSTAINABILITY REPORT.pdf,Successfully downloaded
RYA.I_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
9020.T_FY2022_INTEGRATED REPORT 2022.pdf,Successfully downloaded
MICP.PA_FY2022_Climate Change 2022.pdf,Successfully downloaded
ETR.N_FY2022_Entergy’s path to net-zero emissions and climate resilience.pdf,Successfully downloaded
IMB.L_FY2022_ESG STRATEGY 2022.pdf,Successfully downloaded
FSRJ.J_FY2022_2022 REPORT TO SOCIETY.pdf,Successfully downloaded
PHG.AS_FY2022_Annual Report 2022.pdf,Successfully downloaded
ABF.L_FY2022_Responsibility Report 2022.pdf,Successfully downloaded
6971.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
5401.T_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
7733.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
8725.T_FY2022_SUSTAINABILITY REPORT 2022.pdf,Successfully downloaded
BR.N_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
TDY.N_FY2022_2022 CORPORATESOCIAL RESPONSIBILITYREPORT.pdf,Successfully downloaded
CLX.N_FY2022_2022 INTEGRATED ANNUAL REPORT.pdf,Successfully downloaded
